u,i,ts,label,idx
509,48,0.0,1,742
509,109,0.0,1,743
509,36,0.0,1,744
509,255,0.0,3,745
509,479,0.0,3,746
509,552,0.0,3,747
509,264,0.0,3,748
509,9,0.0,1,749
509,479,0.0,3,750
509,577,0.0,3,751
509,552,0.0,3,752
509,552,0.0,3,753
509,86,0.0,1,754
509,92,0.0,1,755
509,345,0.0,1,756
509,328,0.0,1,757
509,386,0.0,3,758
509,345,0.0,1,759
509,62,0.0,3,760
509,326,0.0,1,761
509,393,0.0,1,762
509,73,0.0,1,763
509,345,0.0,1,764
509,9,0.0,1,765
509,552,0.0,3,766
509,23,0.0,1,767
509,101,0.0,1,768
509,86,0.0,3,769
509,509,0.0,3,770
509,552,0.0,3,771
509,509,0.0,3,772
509,372,0.0,1,773
509,36,0.0,1,774
509,62,0.0,3,775
509,552,0.0,3,776
509,20,0.0,3,777
509,164,0.0,1,778
509,20,0.0,3,779
509,128,0.0,1,780
509,247,0.0,1,781
509,552,0.0,3,782
509,20,0.0,1,783
509,117,0.0,3,784
509,20,0.0,3,785
509,411,0.0,3,786
509,9,0.0,1,787
509,7,0.0,1,788
509,20,0.0,1,789
509,42,0.0,3,790
509,236,0.0,1,791
509,20,0.0,1,792
509,237,0.0,1,793
509,109,0.0,1,794
509,109,0.0,1,795
509,20,0.0,1,796
509,489,0.0,1,797
509,86,0.0,3,798
509,286,0.0,1,799
509,327,0.0,3,800
509,327,0.0,3,801
509,9,0.0,1,802
509,20,0.0,1,803
509,23,0.0,3,804
509,323,0.0,1,805
509,86,0.0,3,806
509,9,0.0,3,807
509,9,0.0,1,808
509,27,0.0,1,809
509,20,0.0,1,810
509,9,0.0,1,811
509,42,0.0,3,812
509,236,0.0,3,813
509,236,0.0,1,814
509,65,0.0,1,815
509,65,0.0,1,816
509,1,0.0,3,817
509,86,0.0,3,818
509,78,0.0,3,819
509,86,0.0,3,820
509,17,0.0,1,821
509,286,0.0,1,822
509,489,0.0,1,823
509,23,0.0,1,824
509,36,0.0,3,825
509,9,0.0,1,826
509,417,0.0,1,827
509,114,0.0,1,828
509,20,0.0,3,829
509,245,0.0,1,830
509,109,0.0,1,831
509,7,0.0,1,832
509,36,0.0,3,833
509,36,0.0,3,834
509,509,0.0,3,835
509,27,0.0,1,836
509,23,0.0,1,837
509,62,0.0,3,838
509,9,0.0,1,839
509,82,0.0,1,840
509,446,0.0,3,841
509,446,0.0,3,842
509,7,0.0,1,843
509,286,0.0,1,844
509,78,0.0,1,845
509,327,0.0,1,846
509,62,0.0,1,847
509,323,0.0,1,848
509,552,0.0,1,849
509,323,0.0,1,850
509,386,0.0,1,851
509,89,0.0,1,852
509,255,0.0,1,853
509,255,0.0,1,854
509,27,0.0,1,855
509,489,0.0,1,856
509,255,0.0,1,857
509,237,0.0,1,858
509,1,0.0,3,859
509,62,0.0,3,860
509,176,0.0,1,861
509,364,0.0,1,862
509,20,0.0,1,863
509,417,0.0,1,864
509,323,0.0,1,865
509,130,0.0,1,866
509,7,0.0,1,867
509,552,0.0,3,868
509,552,0.0,3,869
509,7,0.0,1,870
509,552,0.0,1,871
509,20,0.0,1,872
509,62,0.0,3,873
509,36,0.0,1,874
509,552,0.0,1,875
509,552,0.0,1,876
509,9,0.0,1,877
509,9,0.0,1,878
509,7,0.0,1,879
509,89,0.0,1,880
509,20,0.0,1,881
509,7,0.0,1,882
509,479,0.0,1,883
509,23,0.0,1,884
509,7,0.0,1,885
509,117,0.0,1,886
509,552,0.0,1,887
509,255,0.0,3,888
509,417,0.0,3,889
509,417,0.0,1,890
509,42,0.0,1,891
509,552,0.0,1,892
509,552,0.0,1,893
509,8,0.0,1,894
509,89,0.0,3,895
509,89,0.0,1,896
509,36,0.0,3,897
509,7,0.0,1,898
509,403,0.0,1,899
509,479,0.0,1,900
509,489,0.0,1,901
509,9,0.0,1,902
509,7,0.0,1,903
509,20,0.0,1,904
509,36,0.0,3,905
509,20,0.0,3,906
509,552,0.0,1,907
509,117,0.0,3,908
509,20,0.0,3,909
509,7,0.0,1,910
509,479,0.0,1,911
509,577,0.0,3,912
509,17,0.0,1,913
